,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2
1060,5.3,-0.01309492592818582,0.1005140314576234,0.02162684471331946,0.0,0.09996085084671567,0.0
1061,5.305,-0.013085892528300638,0.10049856726953575,0.021710245602109525,0.0,0.09994132309098788,0.0
1062,5.3100000000000005,-0.013073276311828225,0.10048173603745986,0.02179662297044213,0.0,0.09991552741064667,0.0
1063,5.315,-0.013057956375444223,0.10046259269622744,0.02184362323863615,0.0,0.09988237205503567,0.0
1064,5.32,-0.013039330632862393,0.10043964003625024,0.021889160422825314,0.0,0.0998407198388011,0.0
1065,5.325,-0.01301690898119721,0.10041153215809362,0.021955161775737156,0.0,0.09978939671891028,0.0
1066,5.33,-0.012990774009907443,0.10037737430279707,0.022022972865915934,0.0,0.09972719999999569,0.0
1067,5.335,-0.012961414502881935,0.10033602173587104,0.02208975235577296,0.0,0.09965290617392497,0.0
1068,5.34,-0.01292963041168982,0.10028706440132149,0.022138942611237777,0.0,0.09956527839949586,0.0
1069,5.345,-0.01289523832036115,0.10022928279734572,0.0221901627850878,0.0,0.09946307362815571,0.0
1070,5.3500000000000005,-0.012858354722450097,0.10016060772718445,0.022259291794973674,0.0,0.0993450493816454,0.0
1071,5.355,-0.012819403403587665,0.10008016085828272,0.022312144658308983,0.0,0.09920997018746712,0.0
1072,5.36,-0.012778171523525035,0.09998700365621827,0.02236198658211646,0.0,0.09905661367807571,0.0
1073,5.365,-0.012735228903983683,0.09988035675293122,0.022415217573549733,0.0,0.09888377635969268,0.0
1074,5.37,-0.012691071921650924,0.09975879629164998,0.022478849896089382,0.0,0.09869027905664333,0.0
1075,5.375,-0.012645487777951528,0.0996217975984505,0.0225714982756458,0.0,0.09847497203711573,0.0
1076,5.38,-0.012598446866266417,0.09947122382043924,0.022653333626646732,0.0,0.09823673982624176,0.0
1077,5.385,-0.012549655951616969,0.09930600336331491,0.022713158340359887,0.0,0.09797450571239934,0.0
1078,5.39,-0.012499166955501973,0.09912315766303696,0.022766286449569618,0.0,0.0976872359526358,0.0
1079,5.3950000000000005,-0.012447589449893708,0.09892247489541071,0.022807178532728102,0.0,0.09737394368311182,0.0
1080,5.4,-0.012394716399053995,0.09870160040733952,0.02285483663560285,0.0,0.09703369254046539,0.0
1081,5.405,-0.012340575804706095,0.09845978724783339,0.022896219436347058,0.0,0.0966655999999958,0.0
1082,5.41,-0.012286178525260753,0.09819344779660309,0.022951573966585804,0.0,0.09626884043656654,0.0
1083,5.415,-0.012232394642052722,0.09790111497330933,0.023035788736933845,0.0,0.09584264791412757,0.0
1084,5.42,-0.012179220521063574,0.09758616432203636,0.023094530028258935,0.0,0.09538631870975588,0.0
1085,5.425,-0.012125990882771352,0.09724669703769558,0.023120703345917124,0.0,0.09489921357811416,0.0
1086,5.43,-0.012071850401158286,0.09687878749017322,0.023145763105894796,0.0,0.09438075976222729,0.0
1087,5.4350000000000005,-0.012016023094727357,0.09647957973748941,0.023180615169222287,0.0,0.09383045275647596,0.0
1088,5.44,-0.011958942007900751,0.09605015667385813,0.0232041322317452,0.0,0.09324785782770714,0.0
1089,5.445,-0.01190104935365826,0.09559036174279463,0.02321553548411966,0.0,0.0926326113003615,0.0
1090,5.45,-0.011841583511905248,0.09509787269936754,0.023246864789741258,0.0,0.09198442161151595,0.0
1091,5.455,-0.011780855926985015,0.094571692737934,0.023311488470865765,0.0,0.09130307014174267,0.0
1092,5.46,-0.011720128059768643,0.0940131340400806,0.023403658699165088,0.0,0.09058841182768299,0.0
1093,5.465,-0.011659997862467143,0.09342969899471587,0.023479302289246724,0.0,0.08984037556223606,0.0
1094,5.47,-0.011599847225035367,0.0928226766012919,0.02351514328263389,0.0,0.08905896438826219,0.0
1095,5.4750000000000005,-0.011539131614434331,0.09218552558479216,0.023546073922768765,0.0,0.08824425549169979,0.0
1096,5.48,-0.011478344063505237,0.0915153166729244,0.0235869544134141,0.0,0.08739639999999606,0.0
1097,5.485,-0.011417824703406207,0.09081200181370977,0.023622004000440157,0.0,0.08651562259175144,0.0
1098,5.49,-0.011356743376637125,0.09007656377399223,0.023644824164005842,0.0,0.08560222092347548,0.0
1099,5.495,-0.011295377186586214,0.08930725057919132,0.02367947181493448,0.0,0.0846565648793562,0.0
1100,5.5,-0.011234981454333152,0.08850276616022695,0.02371885720806116,0.0,0.08367909564994111,0.0
1101,5.505,-0.011175755430918134,0.087666072014113,0.02372784476833211,0.0,0.0826703246456296,0.0
1102,5.51,-0.011116561378305781,0.08679576926307209,0.023710563511527703,0.0,0.08163083225087636,0.0
1103,5.515,-0.011056270712255718,0.08588701898781563,0.023680193027769206,0.0,0.08056126642500587,0.0
1104,5.5200000000000005,-0.010995117176647747,0.08493873016492016,0.0236325985235532,0.0,0.07946234115553683,0.0
1105,5.525,-0.010933316713270537,0.08395194101077681,0.023578971082467568,0.0,0.07833483476991633,0.0
1106,5.53,-0.010869498158278344,0.08292550388080326,0.023523249301041164,0.0,0.07717958811156475,0.0
1107,5.535,-0.010802377452593527,0.0818571571206282,0.023471017742931605,0.0,0.0759975025861273,0.0
1108,5.54,-0.010732556006484827,0.08074966438617379,0.023412450035186452,0.0,0.07478953808383652,0.0
1109,5.545,-0.01066082102902009,0.0796066819605379,0.023333601009597468,0.0,0.07355671078388187,0.0
1110,5.55,-0.010586016412493768,0.07842457123616887,0.023260296815807456,0.0,0.07230009084668737,0.0
1111,5.555,-0.010507179539898692,0.07720197159884835,0.02320150344588676,0.0,0.07102079999999673,0.0
